asin,1,2,3,4,5,6,7,8,9,10
0310263662,0310263662,0767809254,0783235666,0767802624,0780630459,0767809246,0783222955,0790725657,0788814664,0790729393
0310274281,0310274281,0783219695,0783241569,0790720434,076780192X,0782008372,0783211856,0788860704,0780627024,0783221487
0767002652,0767002652,0783215126,0788860704,0783228015,0767805267,0790729687,0780627024,0788828126,0780628799,0783235666
0767726227,0767726227,078886047X,0780626966,0788828126,0783227507,0767812778,0790729652,0783240694,0767809246,0767805712
076780192X,076780192X,0780623134,0790729687,0790729385,0783227434,0790729725,0767849493,0783239408,0790729628,0783225849
0767802470,0767802470,0783221088,0780020685,0783215126,0790729644,078322995X,0790701251,0767834739,0783243499,0784011796
0767802519,0767802519,0780628799,0784010315,0790729636,0783216084,076781505X,0790729660,0783227507,0783116926,0788882988
0767802594,0767802594,0767813871,0790729687,0783227361,0788832182,0767809254,079070546X,0788821075,0767811100,0784011923
0767802624,0767802624,0780625129,0767805712,0790729709,078322706X,0784011923,0767802659,078323418X,0788821075,0783241542
0767802659,0767802659,0767811100,0767802624,0767824571,0784011923,0783221487,0783222734,0783241542,0767805267,0780618556
0767805267,0767805267,0783239408,0788860704,0767802659,0783241569,0767849493,0790701022,0783219695,0783226152,0784011923
0767805712,0767805712,0767824571,0767802624,0780625129,0780618556,0783240171,0783240694,0790701251,0780623134,0790729660
0767809246,0767809246,0783225792,0783227361,0783225881,078322687X,0790701022,0783227507,0790729385,0767811100,0780651359
0767809254,0767809254,0783227361,0790729393,0310263662,0783225792,0767813871,0767802594,0788821075,0783243499,0790729687
0767811100,0767811100,0780626478,0783240171,0790705141,0790729385,0780651359,0767802659,0767830520,0783227361,0783221088
0767812778,0767812778,0783226152,0783219695,0767834739,0790720434,0790729652,0783227507,0783241038,0767726227,0783240694
0767813871,0767813871,0767802594,0790729687,0788832182,0767809254,0783227361,0784011923,0788821075,0767811100,0788814664
076781505X,076781505X,0784001847,0790729636,0780623134,0767802519,0790729717,0790701251,0767805267,0783225970,0783227507
0767819586,0767819586,0780628799,0780626478,078322687X,0780625129,0780623134,0788821075,0783241569,0783240694,0783219695
0767824571,0767824571,0767805712,0782002064,0767802659,0780625129,0767802624,0780623134,0783221088,0780618556,0783216084
0767825411,0767825411,0783227434,076780192X,078322544X,0767809246,0767849493,0790705141,0783225199,0790729717,0790729628
0767830520,0767830520,0784010315,0783222955,0790729725,0788806270,0782002064,0767811100,0780022181,0783225199,0790729350
0767834739,0767834739,0783227507,0784010188,0780607287,0783229526,0767802470,0783241038,0767812778,0788860704,078881107X
0767834860,0767834860,0780631153,0780607287,0790729660,0783235666,0783225792,0783227434,076780192X,0783234066,0788812408
0767836324,0767836324,078322995X,0767849493,0780020685,0788860704,0788806270,0783235666,0767802624,0780618556,0788812807
0767849493,0767849493,0780020685,0790729709,0790729385,0783241569,0788821075,0790729636,0767836324,0788814664,078323418X
0767853636,0767853636,079070546X,0767849493,0788821075,0780626478,0780628799,0783211856,0783233493,0788802194,0780022181
0780020685,0780020685,0767849493,078322995X,0790729687,0767802470,0767836324,0783222734,0783221088,076780192X,0783227434
0780022181,0780022181,0783229526,0783235666,0767830520,0782008372,078062565X,0790701022,0783227361,0780628799,0783221088
0780022300,0780022300,0783228015,0783235666,0788802194,0788882988,0783221088,0783211856,0767809254,0780622545,0790729725
0780607287,0780607287,078062565X,0767834739,0790729636,0783241038,078881107X,0790729652,0790729385,0767834860,0767805267
0780618556,0780618556,0783241542,0767805712,0780651359,0767836324,0782002064,0788806270,0767811100,0767824571,0767802659
0780621980,0780621980,0784011796,0790729636,0780626478,0790729393,0783222734,0767849493,0767819586,0783225199,0790729652
0780622545,0780622545,0783241569,0780651359,076780192X,0790729687,0783225881,0790729717,0783243499,0783225792,0780022181
0780623134,0780623134,076780192X,078322687X,0790729725,0780628799,0784001847,0767819586,0767805712,076781505X,0780631153
0780623746,0780623746,0790729687,0767830520,0790729660,0767809246,0788814664,0790705141,0310263662,076780192X,0783225199
0780625129,0780625129,0783239408,0767802624,0767805712,0767819586,0767824571,0790729350,0783233493,0783241542,0767849493
078062565X,078062565X,078322544X,0780607287,0783235666,0780022181,0783227507,0767811100,0780628799,0790729644,0790701251
0780626478,0780626478,0767811100,078322687X,0767819586,0780628799,0783229526,0780651359,0783241542,0780621980,0790729687
0780626966,0780626966,076780192X,0767726227,0767834739,0783225792,0767809246,0783243499,0767836324,0780607287,0783227507
0780627024,0780627024,0780630459,0767811100,0783240287,0780626478,0783233493,0790729385,0783239408,0780651359,0767802470
0780628799,0780628799,0767819586,0790729660,0780626478,078323418X,078322687X,0767802519,0780623134,0790729709,0783227507
0780629450,0780629450,0790729644,0784011796,0783235666,0788860704,0767802594,0780631153,0782008372,0780622545,0767805712
0780630459,0780630459,0780627024,0790729636,0783235666,0788882988,0310263662,0783225970,0788812408,0783225881,0783239408
0780631153,0780631153,0790729644,0788814664,0780628799,0780623134,0767805712,0783239408,0767834860,0784011796,0784010315
0780651359,0780651359,0767811100,0780618556,0790729687,0767802624,0790729652,0780622545,0783227361,0767809246,079070546X
0782002064,0782002064,0767830520,0767824571,0788832182,0783222955,0788806270,078886047X,0783225849,0783226152,0780618556
0782008372,0782008372,0780022181,0783219695,0784011923,0783241542,0783221487,0784010188,078881172X,0780626478,0790705141
0783107986,0783107986,0784010188,0788860704,0783221088,0780622545,0790729725,0790729644,0767802519,0790705141,0790729385
0783116926,0783116926,0790705141,0783241038,0783229526,0783235666,0790729687,078323418X,0767802519,0783227507,0783227434
0783211856,0783211856,0790729717,0788860704,0790729644,076780192X,0783227434,078881172X,0783216084,0780022300,0767830520
0783215126,0783215126,0767802470,0767002652,0784011796,078881172X,0780625129,0783234066,0767830520,0790729350,0790729385
0783216084,0783216084,0790705141,0783225199,0767802519,0767809246,0783241569,0783225849,0783222734,0783225970,0790729385
0783219695,0783219695,0782008372,0767811100,076780192X,0767812778,0767819586,0783221088,0780626478,0783241569,0790729385
0783221088,0783221088,0783235666,0767802470,0783241569,0767811100,0780020685,0790705141,078322706X,0767802624,0783226152
0783221487,0783221487,0767811100,0790729636,0767802659,0782002064,0788882988,0782008372,0780625129,0784011923,0767830520
0783222734,0783222734,0780020685,0767802659,0783216084,0780621980,0788812807,0783241542,0767802624,0790729687,0767849493
0783222955,0783222955,0767830520,0788806270,0783225199,0782002064,0790701251,0783239408,0790729350,0310263662,0783225849
0783225199,0783225199,0767830520,078322706X,0783222955,0788806270,0783216084,0784012822,0783239408,0790729652,0780621980
078322544X,078322544X,078062565X,0783227507,0767809246,0783240287,0783239408,0783240694,0767825411,078322687X,0767834739
0783225792,0783225792,0767809246,0790729725,0783225881,0783225970,0767809254,0784011923,0790729652,0790701022,0790729644
0783225849,0783225849,0767830520,076780192X,0783235666,0783216084,0783221088,0782002064,0783222955,0788806270,0784010315
0783225881,0783225881,0767809246,0783225792,0790701022,0780622545,0780651359,0790729652,0780625129,078322706X,0783239408
0783225970,0783225970,0783225792,0790729636,0783239408,0790701251,0790729717,0783216084,0783233493,0788860704,0790729725
0783226152,0783226152,0783241569,0790720434,0788821075,0767812778,0783221088,0767830520,0783241038,0782002064,0788806270
0783226160,0783226160,0783225792,0790729652,0783235666,0767811100,0767830520,0788821075,0788814664,0780022181,0783221088
078322687X,078322687X,0780626478,0767819586,0780623134,0780628799,0767809246,0783228015,0767830520,0783227361,0790705141
078322706X,078322706X,0790729709,078323418X,0767802624,0788814664,0788821075,0767849493,0783225199,0784010218,0783233493
0783227361,0783227361,0767809246,0767809254,0767811100,0767802594,0767813871,0790729687,0788832182,0780651359,078322687X
0783227434,0783227434,076780192X,0790729687,0783227507,0767825411,0780020685,0767849493,0783211856,0790729636,0780022181
0783227507,0783227507,0767834739,078322544X,0767809246,0783240171,0790729636,0780628799,0783227434,0783229526,078062565X
0783228015,0783228015,078322687X,0780022300,0788802194,079070546X,0788882988,0783241542,0767802624,0767805712,0783241569
0783229526,0783229526,0780022181,0780626478,0783241542,0767830520,0783227507,0767834739,0767809254,0783116926,078062565X
078322995X,078322995X,0767836324,0780020685,0767849493,0767802470,0783234066,0783243499,0767819586,0788821075,0780628799
0783233493,0783233493,078322706X,0790729709,0790729644,078323418X,0767802624,0788814664,0783239408,0780625129,0788821075
