asin,1,2,3,4,5,6,7,8,9,10
0005019281,0005019281,0780623746,0783225199,078062369X,0767836316,0783241569,0784011168,079070546X,0790729652,0783225873
0005119367,0005119367,0790729385,0767849493,0783240287,0767817710,0767824407,0767827929,0767003357,0718000315,0790729369
0307514161,0307514161,0790729628,0780651359,0783227388,0767827813,078062369X,0780021967,0788811207,0767853636,0790729377
0310263662,0310263662,0767809254,0783233078,0767809270,0767802551,0783235666,0767821785,0784011648,0783117388,0783235690
0310274281,0310274281,0767823729,0784011648,0783234996,0783241917,0767817710,0783237413,0783219695,0782008348,0783226853
0578046725,0578046725,0790729725,0780623711,0780622537,0780622545,0780622588,0780622642,0780623134,0780623614,078062369X
0718000315,0718000315,0767827929,0784018235,0790701251,0783235593,0784011710,078322995X,0005119367,0783225253,0783226837
0764006770,0764006770,0783227434,0782008348,0767849981,0783219172,0767827716,0783219857,076780192X,0780631684,0784011168
0764007211,0764007211,0780623711,0780619552,0788816454,0783233515,0767827813,0767834739,0780607287,078881107X,0780623746
0767002652,0767002652,0783215126,0788860704,0767020308,0767087372,0783228015,0783222823,0783219458,0767805267,0783235690
0767003357,0767003357,0767851013,0784018235,0783227647,0773343032,0790729717,0767020308,0790729407,0783240171,0783225970
0767020308,0767020308,0783227647,0783227426,0767851013,0767087372,0790729407,0767003357,0767803434,0767806239,0783236352
0767087372,0767087372,0767020308,0767002652,0783222823,0780656946,078401020X,0780631641,0784011710,0767809688,078322947X
0767726227,0767726227,0783233582,078886047X,0780626966,0767827716,0788828126,0783227507,0767812778,0790729652,0783226004
0767736680,0767736680,0767836316,0780607287,0790729652,079070546X,0783229356,0783222734,0767802659,076780192X,0788805533
076780192X,076780192X,0764006770,0780623134,0782008348,0790729342,078401115X,0790729687,0790729385,0783227434,0767849981
0767802470,0767802470,0767802551,0783225997,0783221088,0780020685,0783215126,0790729644,0784010528,078322995X,0790701251
0767802519,0767802519,0783224079,0780628799,0783241313,0784010315,0790729636,0767809270,0780626702,0767806239,078322172X
0767802535,0767802535,0790729377,0782010679,0780631153,0784011176,0783226853,0790729342,0767811100,0767809246,0783229526
0767802551,0767802551,0780625129,078321958X,0767802470,0767805267,0783225997,0767805712,076780922X,0780631684,0783225970
0767802594,0767802594,0780626702,0767809270,0767812166,0767813871,0767825616,0790729687,0767803434,0783227361,0767836286
0767802624,0767802624,0783219458,0783237367,0780626702,0783227256,0780625129,0767805712,0790729709,076780922X,078322706X
0767802659,0767802659,0767811100,0767802624,0783237367,0767802683,0767824571,0784011923,0783221487,0783222734,0783241542
0767802683,0767802683,0767809270,0780626478,078322687X,0767811100,0783113943,0780628799,0767806239,0767819586,0767836359
0767802802,0767802802,0783235690,0767809270,0780626702,0767836286,0783107986,0783236352,0788814664,0788814958,0788811355
0767803434,0767803434,0767809270,0788821075,0783235690,078401115X,0788814958,078062369X,0790729369,0783227256,0783241569
0767805267,0767805267,078321958X,0767802551,0783219598,0783225997,0780631684,0767817664,0783239408,0788860704,0767802659
0767805712,0767805712,0783231032,0780626702,0780631528,0783225482,0767824571,076780922X,0780020715,0784011176,0767802624
0767806239,0767806239,0767809270,0767802683,0780626478,078401020X,0783243456,0780628799,0767819586,0780621611,0784011176
0767808673,0767808673,0767811100,0788860704,0767825616,0783227388,0783240287,0790729709,0767823729,0783243456,0783233515
076780922X,076780922X,0767809262,0780626702,078322706X,0767812417,0767811100,0783221088,0767805712,0783231032,0780625129
0767809246,0767809246,0780619412,0783225792,0780626702,0783225997,0783227361,0783225881,0780622588,0783225768,0767812166
0767809254,0767809254,0767821785,0783227647,078062856X,0780631684,0784011168,0783227361,0783225768,0790729393,078401020X
