asin,1,2,3,4,5,6,7,8,9,10
0310263662,0310263662,0783222955,0780628799,0780631153,0783239408,0788882988,0783211856,078886047X,0790729385,0783216084
0767002652,0767002652,0783215126,0788860704,0783228015,0790729687,0788828126,0780628799,0784010315,0788882988,0767853636
0767802470,0767802470,0783215126,0790701251,0783243499,0784011796,0784010315,0780622545,0784010188,0783219695,0783225849
0767802519,0767802519,0780628799,0784010315,0783216084,0783227507,0788882988,0784011796,0783243499,0780622545,0790729687
0767824571,0767824571,0782002064,0780623134,0780618556,0783216084,0790701022,0780631153,0783221487,0790729628,0783239408
0767849493,0767849493,0790729385,0790729687,0780628799,0783239408,079070546X,0783227434,0767853636,0784010218,0784010188
0767853636,0767853636,079070546X,0767849493,0780628799,0783211856,0788802194,0784010188,0790729687,0783222734,0783221487
0780618556,0780618556,0782002064,0767824571,0788812807,0783243499,0783219695,0790729385,0767849493,0783227507,0790701251
0780622545,0780622545,0790729687,0783243499,0790729628,0784011796,079070546X,0788882988,0783216084,078886047X,0783211856
0780623134,0780623134,078322687X,0780628799,0780631153,0788882988,0767824571,0790729628,0783243499,0783239408,0790701251
0780628799,0780628799,078322687X,0767802519,0780623134,0783227507,0780631153,0784010315,0783241038,0767849493,0310263662
0780631153,0780631153,0780628799,0780623134,0783239408,0784011796,0784010315,0790705141,0790729385,0788882988,0790701251
0782002064,0782002064,0767824571,0783222955,078886047X,0783225849,0780618556,0783221487,0790701251,0784010218,0790705141
0783211856,0783211856,0788860704,0783227434,078881172X,0783216084,0310263662,0780622545,078322687X,0767802519,0767853636
0783215126,0783215126,0767802470,0767002652,0784011796,078881172X,0790729385,0782002064,0783221487,0783216084,0790701022
0783216084,0783216084,0790705141,0767802519,0783225849,0783222734,0783225970,0790729385,0790701022,078886047X,0780622545
0783219695,0783219695,0790729385,0783225970,0783227434,0780628799,0784011923,0783243499,0790701022,0784010315,0783225849
0783221487,0783221487,0782002064,0788882988,0784011923,078886047X,0783222734,0767824571,0783239408,078881172X,0783225970
0783222734,0783222734,0783216084,0788812807,0790729687,0767849493,0783227434,0783221487,0783227507,0790729628,0783225849
0783222955,0783222955,0782002064,0790701251,0783239408,0310263662,0783225849,0780631153,0784010315,0790705141,0783211856
0783225849,0783225849,0783216084,0782002064,0783222955,0784010315,0783239408,0783219695,0783227434,0780623134,0767849493
0783225970,0783225970,0783239408,0790701251,0783216084,0788860704,0784010188,0783219695,0784010315,0790729628,0767849493
078322687X,078322687X,0780623134,0780628799,0783228015,0790705141,0788882988,0784010315,0788860704,0783211856,0767802519
0783227434,0783227434,0790729687,0783227507,0767849493,0783211856,0783219695,0790729385,0783222734,0783241038,0783225849
0783227507,0783227507,0780628799,0783227434,0790701251,0783239408,0767802519,0783243499,0790729385,078886047X,0784011923
0783228015,0783228015,078322687X,0788802194,079070546X,0788882988,078886047X,0783243499,0783239408,0780623134,0767002652
0783239408,0783239408,0790729385,0783225970,0788860704,0780631153,0767849493,0783227507,0783222955,0790701251,0790701022
0783241038,0783241038,0780628799,0790729385,0784010315,0783227434,0780623134,0788860704,0790701251,0780622545,0790701022
0783243499,0783243499,0767802470,0780622545,0790729687,0783227507,079070546X,0767802519,0784011796,0780631153,0783219695
0784010188,0784010188,0784011923,0784010315,0767849493,0783225970,079070546X,0767853636,0783239408,0767802470,0767802519
0784010218,0784010218,0767849493,0780628799,0782002064,0783227434,0767802519,078322687X,0783239408,078881172X,0783243499
0784010315,0784010315,0767802519,0780628799,0780631153,0784010188,0790701022,0783225970,0784011796,0783225849,0767802470
0784011796,0784011796,0767802470,0780631153,0780622545,0767802519,0783243499,0784010315,0783215126,0788882988,0790701022
0784011923,0784011923,0784010188,0783219695,078886047X,0790705141,0783221487,0783225970,0790729687,0783227507,0783216084
0788802194,0788802194,0788812807,0788828126,0783228015,0788812408,0788882988,078881172X,0783239408,0767853636,0783227507
078881172X,078881172X,0788812408,0788828126,0783211856,0783216084,0788812807,0788802194,0783227507,0783215126,0790705141
0788812408,0788812408,0788802194,0788812807,078881172X,0788828126,0783227507,0790705141,0784010188,0783239408,0767849493
0788812807,0788812807,0788802194,0788812408,0783222734,0780618556,078881172X,0783216084,0783227507,0790705141,078322687X
0788828126,0788828126,0788802194,078881172X,0788812408,0780628799,0783227507,0790701251,0784011923,0790729385,0788812807
078886047X,078886047X,0782002064,0783216084,0788882988,0783239408,0784011923,0780622545,0783227507,0780628799,0783228015
0788860704,0788860704,0783211856,0783239408,0783225970,0767849493,078322687X,0788882988,078886047X,0767002652,0783227434
0788882988,0788882988,0790701022,0780623134,0780631153,0780622545,078322687X,0767802519,0783228015,0783221487,078886047X
0790701022,0790701022,0790729628,0788882988,0784010315,0790705141,0783216084,0783239408,0790701251,0790729385,0784011796
0790701251,0790701251,0790729385,0790705141,0767802470,0783225970,0783227507,0783222955,0783239408,0790701022,0780631153
0790705141,0790705141,0790729385,0790701251,0783216084,078322687X,0780631153,0790701022,0784011923,0788882988,0783243499
079070546X,079070546X,0783228015,0767853636,0767849493,0780622545,0783243499,0790729687,0784010188,0784011923,0783221487
0790729385,0790729385,0767849493,0790701251,0790705141,0783239408,0783216084,0780631153,0783241038,0783219695,0790701022
0790729628,0790729628,0790701022,0780622545,0780623134,0783225970,0790701251,0790729385,078886047X,0783239408,0783222734
0790729687,0790729687,0783227434,0767849493,0780622545,0783243499,0783222734,079070546X,0784011923,0767802519,0783221487
